,ID,Name,Year,RAM_Type,Size,Clock,Sticks,Bandwidth,Latency
251,252,Corsair Dominator Platinum Series 32GB,2021,DDR4-3733,32,3733,4,119.456,8.572193945888026
252,253,Corsair Vengeance LED (White),2021,DDR4-3200,64,3200,1,25.6,10.0
253,254,Corsair Dominator Platinum Series 64GB,2021,DDR4-3000,64,3000,4,96.0,10.0
254,255,Corsair Vengeance LED (Blue),2021,DDR4-3000,64,3000,1,24.0,10.0
255,256,Corsair Dominator Platinum Series 32GB,2021,DDR4-4000,32,4000,4,128.0,8.0
256,257,Corsair Dominator Platinum RGB Series,2022,DDR4-3600,64,3600,4,115.2,10.0
257,258,Corsair Vengeance RGB,2023,DDR5-5200,192,5200,4,166.4,15.384615384615385
258,259,Corsair Vengeance LED (Red),2021,DDR4-3000,64,3000,1,24.0,10.0
259,260,Corsair Vengeance RGB Pro (Black),2022,DDR4-3600,64,3600,4,115.2,10.0
260,261,Corsair Vengeance RGB Pro (White),2022,DDR4-3600,64,3600,4,115.2,10.0
261,262,Corsair Vengeance,2023,DDR5-5200,192,5200,4,166.4,15.384615384615385
262,263,Corsair Vengeance RGB Pro (White),2022,DDR4-3600,64,3600,8,230.4,10.0
263,264,Corsair Dominator Platinum RGB Series,2022,DDR4-3600,64,3600,8,230.4,10.0
264,265,Corsair LED 32GB,2021,DDR4-2666,64,2666,4,85.312,12.003000750187548
265,266,Corsair Vengeance RGB RT,2022,DDR4-3200,128,3200,4,102.4,10.0
266,267,Corsair Dominator Platinum Series 64GB,2021,DDR4-2800,64,2800,8,179.2,11.428571428571429
267,268,Corsair Dominator Platinum DDR4-2666 CL15,2023,DDR4-2666,128,2666,1,21.328,12.003000750187548
268,269,Crucial Ballistix Sport AT series,2019,DDR4-3200,16,3200,1,25.6,10.0
269,270,Crucial Ballistix Sport LT Series grey,2019,DDR4-3000,16,3000,2,48.0,10.0
270,271,Corsair Vengeance RGB Pro Series white,2019,DDR4-2666,16,2666,2,42.656,12.003000750187548
271,272,HyperX Predator DDR4-3200 CL16,2020,DDR4-3200,16,3200,2,51.2,10.0
272,273,Kingston Fury Beast RGB,2021,DDR4-3600,32,3600,2,57.6,10.0
273,274,Corsair Vengeance RGB RS,2021,DDR4-3200,32,3200,2,51.2,10.0
274,275,Crucial DDR5-4800,2022,DDR5-4800,64,4800,2,76.8,16.666666666666668
275,276,Corsair Vengeance RGB Pro Series black,2019,DDR4-3600,16,3600,2,57.6,10.0
276,277,Kingston Fury Renegade,2021,DDR4-3600,16,3600,2,57.6,10.0
277,278,Corsair Dominator Platinum RGB Series,2020,DDR4-3200,16,3200,2,51.2,10.0
278,279,G.Skill Sniper X Series,2019,DDR4-3200,16,3200,2,51.2,10.0
279,280,Corsair Vengeance RGB Pro SL,2021,DDR4-3600,32,3600,2,57.6,10.0
280,281,Thermaltake Toughram RGB DDR4-3000 CL16 - 16 GB Dual-Kit,2020,DDR4-3000,16,3000,2,48.0,10.0
281,282,Corsair Vengeance RGB Pro SL for AMD Ryzen,2022,DDR4-3600,32,3600,2,57.6,10.0
